timestamp,stock_code,stock_name,lynx_score,lynx_valid,mindlynx_score,tradingagent_score,fusion_score,final_signal,position_advice
2026-05-29 22:38:57,,,-0.131,True,0.600,0.000,-0.021,neutral,0成
2026-05-29 22:38:57,,,0.000,False,-0.600,0.000,-0.323,weak_bearish,减仓至0.5成以内
2026-05-29 22:38:57,,,0.598,True,0.600,0.900,0.689,strong_bullish,2-3成
2026-05-29 22:38:57,,,0.507,True,0.600,0.500,0.538,strong_bullish,2-3成
2026-05-29 22:38:57,,,0.000,True,0.600,0.000,0.210,weak_bullish,0.5-1成
2026-05-29 22:38:57,,,0.662,True,0.600,0.000,0.442,weak_bullish,0.5-1成
2026-05-29 22:38:57,,,0.602,True,0.000,-0.500,-0.237,weak_bearish,减仓至0.5成以内
2026-05-29 22:38:57,,,0.000,True,0.000,0.000,0.000,neutral,0成
2026-05-29 22:38:57,,,0.000,True,-0.600,0.500,-0.357,weak_bearish,减仓至0.5成以内
2026-05-29 22:38:57,,,-0.117,True,-0.600,-0.500,-0.401,weak_bearish,减仓至0.5成以内
2026-05-29 22:38:57,,,-0.115,True,0.600,0.900,0.163,neutral,0成
2026-05-29 22:38:57,,,0.552,True,-0.600,0.000,-0.332,weak_bearish,减仓至0.5成以内
2026-05-29 22:39:09,001390,古麒绒材,0.662,True,0.600,0.000,0.442,weak_bullish,0.5-1成
2026-05-29 22:39:09,300652,雷迪克,0.000,False,0.600,-0.900,-0.645,strong_bearish,清仓
2026-05-29 22:39:09,600372,中航机载,0.539,True,0.600,-0.500,-0.095,neutral,0成
2026-05-29 22:39:09,605368,蓝天燃气,0.000,False,0.000,0.000,0.000,neutral,0成
2026-05-29 22:39:09,000592,平潭发展,0.000,True,-0.600,0.000,-0.210,weak_bearish,减仓至0.5成以内
2026-05-29 22:39:09,603189,*ST网达,0.000,True,0.000,0.900,0.270,weak_bullish,0.5-1成
2026-05-29 22:39:09,603557,*ST起步,0.526,True,0.000,0.000,0.184,neutral,0成
2026-05-29 22:39:09,688202,美迪西,0.453,True,-0.600,0.000,-0.333,weak_bearish,减仓至0.5成以内
2026-05-29 22:39:09,601801,皖新传媒,0.479,True,0.000,-0.500,-0.237,weak_bearish,减仓至0.5成以内
2026-05-29 22:39:09,300676,华大基因,-0.105,True,-0.600,0.900,-0.422,weak_bearish,减仓至0.5成以内
2026-05-29 22:40:36,001390,古麒绒材,-0.123,True,0.000,0.000,-0.043,neutral,0成
2026-05-29 22:40:36,300652,雷迪克,0.000,False,0.000,0.000,0.000,neutral,0成
2026-05-29 22:40:36,600372,中航机载,-0.108,True,-0.600,0.000,-0.248,weak_bearish,减仓至0.5成以内
2026-05-29 22:40:36,605368,蓝天燃气,0.000,False,-0.600,0.000,-0.323,weak_bearish,减仓至0.5成以内
2026-05-29 22:40:36,000592,平潭发展,-0.127,True,0.000,0.500,-0.040,neutral,0成
2026-05-29 22:40:36,603189,*ST网达,0.555,True,0.600,0.500,0.554,strong_bullish,2-3成
2026-05-29 22:40:36,603557,*ST起步,0.611,True,0.600,0.500,0.574,strong_bullish,2-3成
2026-05-29 22:40:36,688202,美迪西,0.000,False,0.000,0.000,0.000,neutral,0成
2026-05-29 22:40:36,601801,皖新传媒,0.465,True,-0.600,-0.500,-0.520,strong_bearish,清仓
2026-05-29 22:40:36,300676,华大基因,0.000,False,-0.600,0.500,-0.475,weak_bearish,减仓至0.5成以内
2026-05-29 22:45:26,001390,古麒绒材,0.000,False,-0.600,-0.900,-0.738,strong_bearish,清仓
2026-05-29 22:45:26,300652,雷迪克,0.553,True,0.600,-0.900,-0.373,weak_bearish,减仓至0.5成以内
2026-05-29 22:45:26,600372,中航机载,0.564,True,-0.600,0.500,-0.232,weak_bearish,减仓至0.5成以内
2026-05-29 22:45:26,605368,蓝天燃气,0.000,True,0.000,0.500,0.150,neutral,0成
2026-05-29 22:45:26,000592,平潭发展,0.000,True,-0.600,0.000,-0.210,weak_bearish,减仓至0.5成以内
2026-05-29 22:45:26,603189,*ST网达,0.000,True,0.600,-0.500,-0.237,weak_bearish,减仓至0.5成以内
2026-05-29 22:45:26,603557,*ST起步,0.604,True,0.600,0.000,0.421,weak_bullish,0.5-1成
2026-05-29 22:45:26,688202,美迪西,0.000,False,0.600,0.000,0.323,weak_bullish,0.5-1成
2026-05-29 22:45:26,601801,皖新传媒,0.666,True,0.000,-0.500,-0.238,weak_bearish,减仓至0.5成以内
2026-05-29 22:45:26,300676,华大基因,0.647,True,0.600,-0.500,-0.079,neutral,0成
2026-05-30 07:36:07,001390,古麒绒材,0.507,True,0.000,-0.500,-0.237,weak_bearish,减仓至0.5成以内
2026-05-30 07:36:07,300652,雷迪克,0.572,True,0.600,0.000,0.410,weak_bullish,0.5-1成
2026-05-30 07:36:07,600372,中航机载,0.000,True,0.000,0.000,0.000,neutral,0成
2026-05-30 07:36:07,605368,蓝天燃气,0.459,True,-0.600,0.000,-0.333,weak_bearish,减仓至0.5成以内
2026-05-30 07:36:07,000592,平潭发展,0.000,True,0.000,0.900,0.270,weak_bullish,0.5-1成
2026-05-30 07:36:07,603189,*ST网达,0.663,True,-0.600,0.000,-0.331,weak_bearish,减仓至0.5成以内
2026-05-30 07:36:07,603557,*ST起步,0.510,True,0.600,-0.900,-0.380,weak_bearish,减仓至0.5成以内
2026-05-30 07:36:07,688202,美迪西,-0.109,True,-0.600,0.900,-0.424,weak_bearish,减仓至0.5成以内
2026-05-30 07:36:07,601801,皖新传媒,0.652,True,0.600,0.900,0.708,strong_bullish,2-3成
2026-05-30 07:36:07,300676,华大基因,0.000,False,0.000,0.000,0.000,neutral,0成
2026-05-30 13:47:13,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
2026-05-30 13:47:13,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 13:47:13,600372,中航机载,0.330,True,0.000,0.500,0.265,weak_bullish,0.5-1成
2026-05-30 13:47:13,000592,平潭发展,0.560,True,-0.600,0.900,-0.205,weak_bearish,减仓至0.5成以内
2026-05-30 13:47:13,000592,平潭发展,0.640,True,-0.600,0.900,-0.187,weak_bearish,减仓至0.5成以内
2026-05-30 13:47:13,601801,皖新传媒,0.240,True,0.600,0.900,0.564,strong_bullish,2-3成
2026-05-30 13:47:13,000000,测试,0.160,True,0.000,0.000,0.056,neutral,0成
2026-05-30 13:47:13,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
2026-05-30 13:47:13,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 13:47:13,000000,测试0,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:47:13,000001,测试1,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:47:13,000002,测试2,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:47:28,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
2026-05-30 13:47:28,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 13:47:28,600372,中航机载,0.330,True,0.000,0.500,0.265,weak_bullish,0.5-1成
2026-05-30 13:47:28,000592,平潭发展,0.560,True,-0.600,0.900,-0.205,weak_bearish,减仓至0.5成以内
2026-05-30 13:47:28,000592,平潭发展,0.640,True,-0.600,0.900,-0.187,weak_bearish,减仓至0.5成以内
2026-05-30 13:47:28,601801,皖新传媒,0.240,True,0.600,0.900,0.564,strong_bullish,2-3成
2026-05-30 13:47:28,000000,测试,0.160,True,0.000,0.000,0.056,neutral,0成
2026-05-30 13:47:28,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
2026-05-30 13:47:28,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 13:47:28,000000,测试0,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:47:28,000001,测试1,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:47:28,000002,测试2,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:47:36,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 13:47:53,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
2026-05-30 13:47:53,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 13:47:53,600372,中航机载,0.330,True,0.000,0.500,0.265,weak_bullish,0.5-1成
2026-05-30 13:47:53,000592,平潭发展,0.560,True,-0.600,0.900,-0.205,weak_bearish,减仓至0.5成以内
2026-05-30 13:47:53,000592,平潭发展,0.640,True,-0.600,0.900,-0.187,weak_bearish,减仓至0.5成以内
2026-05-30 13:47:53,601801,皖新传媒,0.240,True,0.600,0.900,0.564,strong_bullish,2-3成
2026-05-30 13:47:53,000000,测试,0.160,True,0.000,0.000,0.056,neutral,0成
2026-05-30 13:47:53,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
2026-05-30 13:47:53,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 13:47:53,000000,测试0,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:47:53,000001,测试1,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:47:53,000002,测试2,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:47:58,601801,皖新传媒,0.240,True,0.600,0.900,0.564,strong_bullish,2-3成
2026-05-30 13:48:19,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
2026-05-30 13:48:19,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 13:48:19,600372,中航机载,0.330,True,0.000,0.500,0.265,weak_bullish,0.5-1成
2026-05-30 13:48:19,000592,平潭发展,0.560,True,-0.600,0.900,-0.205,weak_bearish,减仓至0.5成以内
2026-05-30 13:48:19,000592,平潭发展,0.640,True,-0.600,0.900,-0.187,weak_bearish,减仓至0.5成以内
2026-05-30 13:48:19,601801,皖新传媒,0.240,True,0.600,0.900,0.564,strong_bullish,2-3成
2026-05-30 13:48:19,000000,测试,0.160,True,0.000,0.000,0.056,neutral,0成
2026-05-30 13:48:19,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
2026-05-30 13:48:19,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 13:48:19,000000,测试0,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:48:19,000001,测试1,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 13:48:19,000002,测试2,0.560,True,0.600,0.900,0.676,strong_bullish,2-3成
2026-05-30 14:33:30,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
2026-05-30 14:33:30,603189,*ST网达,-0.600,True,-0.600,-0.900,-0.690,strong_bearish,清仓
2026-05-30 14:33:30,600372,中航机载,0.330,True,0.000,0.500,0.265,weak_bullish,0.5-1成
2026-05-30 14:33:30,000592,平潭发展,0.560,True,-0.600,0.900,-0.205,weak_bearish,减仓至0.5成以内
2026-05-30 14:33:30,000592,平潭发展,0.640,True,-0.600,0.900,-0.187,weak_bearish,减仓至0.5成以内
2026-05-30 14:33:30,601801,皖新传媒,0.240,True,0.600,0.900,0.564,strong_bullish,2-3成
2026-05-30 14:33:30,000000,测试,0.160,True,0.000,0.000,0.056,neutral,0成
2026-05-30 14:33:30,601801,皖新传媒,0.576,True,0.600,0.900,0.682,strong_bullish,2-3成
